Round Number,Date,Location,Home Team,Away Team,Result
4,06/02/2021 06:00,Enterprise Center,St. Louis Blues,Colorado Avalanche,
4,06/02/2021 06:00,Xcel Energy Center,Minnesota Wild,Arizona Coyotes,
4,06/02/2021 07:00,Scotiabank Saddledome,Calgary Flames,Edmonton Oilers,
4,06/02/2021 08:00,TD Garden,Boston Bruins,Buffalo Sabres,
4,06/02/2021 08:00,Prudential Center,New Jersey Devils,New York Rangers,
4,06/02/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Pittsburgh Penguins,
4,06/02/2021 08:00,Canadian Tire Centre,Ottawa Senators,Montréal Canadiens,
4,06/02/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Vancouver Canucks,
4,06/02/2021 08:00,Honda Center,Anaheim Ducks,San Jose Sharks,
4,07/02/2021 06:00,Enterprise Center,St. Louis Blues,Colorado Avalanche,
4,07/02/2021 06:00,Xcel Energy Center,Minnesota Wild,Arizona Coyotes,
4,07/02/2021 06:00,American Airlines Center,Dallas Stars,Chicago Blackhawks,
4,07/02/2021 08:00,Capital One Arena,Washington Capitals,Philadelphia Flyers,
4,07/02/2021 08:00,BB&T Center,Florida Panthers,Detroit Red Wings,
4,07/02/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Carolina Hurricanes,
4,07/02/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Los Angeles Kings,
4,08/02/2021 06:00,Bridgestone Arena,Nashville Predators,Tampa Bay Lightning,
4,08/02/2021 08:00,TD Garden,Boston Bruins,Buffalo Sabres,
4,08/02/2021 08:00,Madison Square Garden,New York Rangers,New York Islanders,
4,08/02/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Carolina Hurricanes,
4,08/02/2021 08:00,Canadian Tire Centre,Ottawa Senators,Edmonton Oilers,
4,08/02/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Vancouver Canucks,
4,09/02/2021 06:00,Bridgestone Arena,Nashville Predators,Tampa Bay Lightning,
4,09/02/2021 06:00,Xcel Energy Center,Minnesota Wild,St. Louis Blues,
4,09/02/2021 06:00,American Airlines Center,Dallas Stars,Chicago Blackhawks,
4,09/02/2021 07:00,Scotiabank Saddledome,Calgary Flames,Winnipeg Jets,
4,09/02/2021 07:00,Ball Arena,Colorado Avalanche,Arizona Coyotes,
4,09/02/2021 08:00,Prudential Center,New Jersey Devils,Pittsburgh Penguins,
4,09/02/2021 08:00,Capital One Arena,Washington Capitals,Philadelphia Flyers,
4,09/02/2021 08:00,BB&T Center,Florida Panthers,Detroit Red Wings,
4,09/02/2021 08:00,Canadian Tire Centre,Ottawa Senators,Edmonton Oilers,
4,09/02/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Anaheim Ducks,
4,09/02/2021 08:00,STAPLES Center,Los Angeles Kings,San Jose Sharks,
5,10/02/2021 08:00,Madison Square Garden,New York Rangers,Boston Bruins,
5,10/02/2021 08:00,Centre Bell,Montréal Canadiens,Toronto Maple Leafs,
5,11/02/2021 06:00,United Center,Chicago Blackhawks,Columbus Blue Jackets,
5,11/02/2021 06:00,Bridgestone Arena,Nashville Predators,Detroit Red Wings,
5,11/02/2021 06:00,Bell MTS Place,Winnipeg Jets,Ottawa Senators,
5,11/02/2021 06:00,Xcel Energy Center,Minnesota Wild,St. Louis Blues,
5,11/02/2021 06:00,American Airlines Center,Dallas Stars,Carolina Hurricanes,
5,11/02/2021 07:00,Ball Arena,Colorado Avalanche,Arizona Coyotes,
5,11/02/2021 08:00,KeyBank Center,Buffalo Sabres,Washington Capitals,
5,11/02/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Pittsburgh Penguins,
5,11/02/2021 08:00,Wells Fargo Center,Philadelphia Flyers,New Jersey Devils,
5,11/02/2021 08:00,BB&T Center,Florida Panthers,Tampa Bay Lightning,
5,11/02/2021 08:00,Centre Bell,Montréal Canadiens,Edmonton Oilers,
5,11/02/2021 08:00,Rogers Arena,Vancouver Canucks,Calgary Flames,
5,11/02/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Anaheim Ducks,
5,11/02/2021 08:00,STAPLES Center,Los Angeles Kings,San Jose Sharks,
5,12/02/2021 08:00,Madison Square Garden,New York Rangers,Boston Bruins,
5,13/02/2021 06:00,United Center,Chicago Blackhawks,Columbus Blue Jackets,
5,13/02/2021 06:00,Bridgestone Arena,Nashville Predators,Detroit Red Wings,
5,13/02/2021 06:00,Bell MTS Place,Winnipeg Jets,Ottawa Senators,
5,13/02/2021 06:00,American Airlines Center,Dallas Stars,Carolina Hurricanes,
5,13/02/2021 07:00,Gila River Arena,Arizona Coyotes,St. Louis Blues,
5,13/02/2021 08:00,KeyBank Center,Buffalo Sabres,Washington Capitals,
5,13/02/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Boston Bruins,
5,13/02/2021 08:00,Wells Fargo Center,Philadelphia Flyers,New Jersey Devils,
5,13/02/2021 08:00,BB&T Center,Florida Panthers,Tampa Bay Lightning,
5,13/02/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Montréal Canadiens,
5,13/02/2021 08:00,Rogers Arena,Vancouver Canucks,Calgary Flames,
5,13/02/2021 08:00,STAPLES Center,Los Angeles Kings,Minnesota Wild,
5,13/02/2021 08:00,SAP Center at San Jose,San Jose Sharks,Anaheim Ducks,
5,14/02/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,Washington Capitals,
5,14/02/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Colorado Avalanche,
5,15/02/2021 06:00,American Airlines Center,Dallas Stars,Nashville Predators,
5,15/02/2021 07:00,Rogers Place,Edmonton Oilers,Winnipeg Jets,
5,15/02/2021 07:00,Gila River Arena,Arizona Coyotes,St. Louis Blues,
5,15/02/2021 08:00,TD Garden,Boston Bruins,New Jersey Devils,
5,15/02/2021 08:00,KeyBank Center,Buffalo Sabres,New York Islanders,
5,15/02/2021 08:00,Little Caesars Arena,Detroit Red Wings,Chicago Blackhawks,
5,15/02/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Ottawa Senators,
5,15/02/2021 08:00,Rogers Arena,Vancouver Canucks,Calgary Flames,
5,15/02/2021 08:00,SAP Center at San Jose,San Jose Sharks,Anaheim Ducks,
5,16/02/2021 06:00,American Airlines Center,Dallas Stars,Nashville Predators,
5,16/02/2021 08:00,KeyBank Center,Buffalo Sabres,New York Islanders,
5,16/02/2021 08:00,Madison Square Garden,New York Rangers,Philadelphia Flyers,
5,16/02/2021 08:00,PNC Arena,Carolina Hurricanes,Columbus Blue Jackets,
5,16/02/2021 08:00,Amalie Arena,Tampa Bay Lightning,Florida Panthers,
5,16/02/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,Washington Capitals,
5,16/02/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Colorado Avalanche,
5,16/02/2021 08:00,STAPLES Center,Los Angeles Kings,Minnesota Wild,
6,17/02/2021 07:00,Scotiabank Saddledome,Calgary Flames,Vancouver Canucks,
6,17/02/2021 07:00,Rogers Place,Edmonton Oilers,Winnipeg Jets,
6,17/02/2021 08:00,Little Caesars Arena,Detroit Red Wings,Chicago Blackhawks,
6,17/02/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Ottawa Senators,
6,18/02/2021 06:00,Enterprise Center,St. Louis Blues,San Jose Sharks,
6,18/02/2021 06:00,American Airlines Center,Dallas Stars,Tampa Bay Lightning,
6,18/02/2021 07:00,Gila River Arena,Arizona Coyotes,Los Angeles Kings,
6,18/02/2021 08:00,TD Garden,Boston Bruins,New Jersey Devils,
6,18/02/2021 08:00,Wells Fargo Center,Philadelphia Flyers,New York Rangers,
6,18/02/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,New York Islanders,
6,18/02/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Nashville Predators,
6,18/02/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Ottawa Senators,
6,18/02/2021 08:00,Honda Center,Anaheim Ducks,Minnesota Wild,
6,19/02/2021 07:00,Scotiabank Saddledome,Calgary Flames,Edmonton Oilers,
6,19/02/2021 08:00,PNC Arena,Carolina Hurricanes,Chicago Blackhawks,
6,19/02/2021 08:00,Little Caesars Arena,Detroit Red Wings,Florida Panthers,
6,19/02/2021 08:00,Rogers Arena,Vancouver Canucks,Winnipeg Jets,
6,20/02/2021 06:00,Enterprise Center,St. Louis Blues,San Jose Sharks,
6,20/02/2021 06:00,American Airlines Center,Dallas Stars,Tampa Bay Lightning,
6,20/02/2021 07:00,Rogers Place,Edmonton Oilers,Calgary Flames,
6,20/02/2021 07:00,Ball Arena,Colorado Avalanche,Vegas Golden Knights,
6,20/02/2021 07:00,Gila River Arena,Arizona Coyotes,Los Angeles Kings,
6,20/02/2021 08:00,Prudential Center,New Jersey Devils,Buffalo Sabres,
6,20/02/2021 08:00,Capital One Arena,Washington Capitals,New York Rangers,
6,20/02/2021 08:00,PNC Arena,Carolina Hurricanes,Chicago Blackhawks,
6,20/02/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,New York Islanders,
6,20/02/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Nashville Predators,
6,20/02/2021 08:00,Centre Bell,Montréal Canadiens,Toronto Maple Leafs,
6,20/02/2021 08:00,Honda Center,Anaheim Ducks,Minnesota Wild,
6,21/02/2021 08:00,TD Garden,Boston Bruins,Philadelphia Flyers,
6,21/02/2021 08:00,Capital One Arena,Washington Capitals,New York Rangers,
6,21/02/2021 08:00,Little Caesars Arena,Detroit Red Wings,Florida Panthers,
6,21/02/2021 08:00,Canadian Tire Centre,Ottawa Senators,Montréal Canadiens,
6,21/02/2021 08:00,Rogers Arena,Vancouver Canucks,Winnipeg Jets,
6,22/02/2021 06:00,Enterprise Center,St. Louis Blues,Los Angeles Kings,
6,22/02/2021 07:00,Ball Arena,Colorado Avalanche,Vegas Golden Knights,
6,22/02/2021 07:00,Gila River Arena,Arizona Coyotes,Anaheim Ducks,
6,22/02/2021 08:00,Prudential Center,New Jersey Devils,Buffalo Sabres,
6,22/02/2021 08:00,Amalie Arena,Tampa Bay Lightning,Carolina Hurricanes,
6,22/02/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Calgary Flames,
6,23/02/2021 08:00,Prudential Center,New Jersey Devils,New York Islanders,
6,23/02/2021 08:00,Capital One Arena,Washington Capitals,Pittsburgh Penguins,
6,23/02/2021 08:00,BB&T Center,Florida Panthers,Dallas Stars,
6,23/02/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Chicago Blackhawks,
6,23/02/2021 08:00,Little Caesars Arena,Detroit Red Wings,Nashville Predators,
6,23/02/2021 08:00,Canadian Tire Centre,Ottawa Senators,Montréal Canadiens,
6,23/02/2021 08:00,Rogers Arena,Vancouver Canucks,Edmonton Oilers,
7,24/02/2021 06:00,Enterprise Center,St. Louis Blues,Los Angeles Kings,
