Round Number,Date,Location,Home Team,Away Team,Result
14,14/04/2021 07:00,STAPLES Center,Los Angeles Kings,Vegas Golden Knights,
14,14/04/2021 07:00,SAP Center at San Jose,San Jose Sharks,Anaheim Ducks,
14,15/04/2021 05:00,American Airlines Center,Dallas Stars,Columbus Blue Jackets,
14,15/04/2021 07:00,Madison Square Garden,New York Rangers,New Jersey Devils,
14,15/04/2021 07:00,Capital One Arena,Washington Capitals,Buffalo Sabres,
14,15/04/2021 07:00,PNC Arena,Carolina Hurricanes,Nashville Predators,
14,15/04/2021 07:00,Amalie Arena,Tampa Bay Lightning,Florida Panthers,
14,15/04/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Philadelphia Flyers,
14,15/04/2021 07:00,Little Caesars Arena,Detroit Red Wings,Chicago Blackhawks,
14,15/04/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Winnipeg Jets,
14,15/04/2021 07:00,Gila River Arena,Arizona Coyotes,St. Louis Blues,
14,16/04/2021 05:00,Xcel Energy Center,Minnesota Wild,San Jose Sharks,
14,16/04/2021 06:00,Ball Arena,Colorado Avalanche,Los Angeles Kings,
14,16/04/2021 07:00,TD Garden,Boston Bruins,New York Islanders,
14,16/04/2021 07:00,Centre Bell,Montréal Canadiens,Calgary Flames,
14,16/04/2021 07:00,Honda Center,Anaheim Ducks,Vegas Golden Knights,
14,17/04/2021 05:00,Bell MTS Place,Winnipeg Jets,Edmonton Oilers,
14,17/04/2021 05:00,Xcel Energy Center,Minnesota Wild,San Jose Sharks,
14,17/04/2021 05:00,American Airlines Center,Dallas Stars,Columbus Blue Jackets,
14,17/04/2021 07:00,KeyBank Center,Buffalo Sabres,Pittsburgh Penguins,
14,17/04/2021 07:00,Madison Square Garden,New York Rangers,New Jersey Devils,
14,17/04/2021 07:00,Wells Fargo Center,Philadelphia Flyers,Washington Capitals,
14,17/04/2021 07:00,PNC Arena,Carolina Hurricanes,Nashville Predators,
14,17/04/2021 07:00,Amalie Arena,Tampa Bay Lightning,Florida Panthers,
14,17/04/2021 07:00,Little Caesars Arena,Detroit Red Wings,Chicago Blackhawks,
14,17/04/2021 07:00,Rogers Arena,Vancouver Canucks,Toronto Maple Leafs,
14,17/04/2021 07:00,Gila River Arena,Arizona Coyotes,St. Louis Blues,
14,18/04/2021 06:00,Ball Arena,Colorado Avalanche,Los Angeles Kings,
14,18/04/2021 07:00,TD Garden,Boston Bruins,Washington Capitals,
14,18/04/2021 07:00,Prudential Center,New Jersey Devils,New York Rangers,
14,18/04/2021 07:00,Wells Fargo Center,Philadelphia Flyers,New York Islanders,
14,18/04/2021 07:00,Honda Center,Anaheim Ducks,Vegas Golden Knights,
14,19/04/2021 05:00,American Airlines Center,Dallas Stars,Detroit Red Wings,
14,19/04/2021 06:00,Scotiabank Saddledome,Calgary Flames,Ottawa Senators,
14,19/04/2021 06:00,Rogers Place,Edmonton Oilers,Montréal Canadiens,
14,19/04/2021 07:00,Amalie Arena,Tampa Bay Lightning,Carolina Hurricanes,
14,19/04/2021 07:00,BB&T Center,Florida Panthers,Columbus Blue Jackets,
14,19/04/2021 07:00,Rogers Arena,Vancouver Canucks,Toronto Maple Leafs,
14,19/04/2021 07:00,Gila River Arena,Arizona Coyotes,Minnesota Wild,
14,19/04/2021 07:00,T-Mobile Arena,Vegas Golden Knights,San Jose Sharks,
14,20/04/2021 05:00,American Airlines Center,Dallas Stars,Detroit Red Wings,
14,20/04/2021 06:00,Scotiabank Saddledome,Calgary Flames,Ottawa Senators,
14,20/04/2021 06:00,Rogers Place,Edmonton Oilers,Montréal Canadiens,
14,20/04/2021 06:00,Ball Arena,Colorado Avalanche,St. Louis Blues,
14,20/04/2021 07:00,TD Garden,Boston Bruins,Washington Capitals,
14,20/04/2021 07:00,KeyBank Center,Buffalo Sabres,Pittsburgh Penguins,
14,20/04/2021 07:00,Prudential Center,New Jersey Devils,Philadelphia Flyers,
14,20/04/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,New York Rangers,
14,20/04/2021 07:00,Amalie Arena,Tampa Bay Lightning,Carolina Hurricanes,
14,20/04/2021 07:00,BB&T Center,Florida Panthers,Columbus Blue Jackets,
14,20/04/2021 07:00,STAPLES Center,Los Angeles Kings,Anaheim Ducks,
15,21/04/2021 05:00,United Center,Chicago Blackhawks,Nashville Predators,
15,21/04/2021 05:00,Bell MTS Place,Winnipeg Jets,Toronto Maple Leafs,
15,21/04/2021 07:00,Gila River Arena,Arizona Coyotes,Minnesota Wild,
15,21/04/2021 07:00,T-Mobile Arena,Vegas Golden Knights,San Jose Sharks,
15,22/04/2021 05:00,Enterprise Center,St. Louis Blues,Colorado Avalanche,
15,22/04/2021 06:00,Scotiabank Saddledome,Calgary Flames,Montréal Canadiens,
15,22/04/2021 07:00,KeyBank Center,Buffalo Sabres,Boston Bruins,
15,22/04/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,Washington Capitals,
15,22/04/2021 07:00,Amalie Arena,Tampa Bay Lightning,Columbus Blue Jackets,
15,22/04/2021 07:00,BB&T Center,Florida Panthers,Carolina Hurricanes,
15,22/04/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,New Jersey Devils,
15,22/04/2021 07:00,Little Caesars Arena,Detroit Red Wings,Dallas Stars,
15,22/04/2021 07:00,Rogers Arena,Vancouver Canucks,Ottawa Senators,
15,23/04/2021 05:00,United Center,Chicago Blackhawks,Nashville Predators,
15,23/04/2021 05:00,Bell MTS Place,Winnipeg Jets,Toronto Maple Leafs,
15,23/04/2021 07:00,KeyBank Center,Buffalo Sabres,Boston Bruins,
15,23/04/2021 07:00,Madison Square Garden,New York Rangers,Philadelphia Flyers,
15,23/04/2021 07:00,STAPLES Center,Los Angeles Kings,Arizona Coyotes,
15,23/04/2021 07:00,SAP Center at San Jose,San Jose Sharks,Minnesota Wild,
15,24/04/2021 05:00,Enterprise Center,St. Louis Blues,Colorado Avalanche,
15,24/04/2021 05:00,Bell MTS Place,Winnipeg Jets,Toronto Maple Leafs,
15,24/04/2021 06:00,Scotiabank Saddledome,Calgary Flames,Montréal Canadiens,
15,24/04/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,Washington Capitals,
15,24/04/2021 07:00,BB&T Center,Florida Panthers,Carolina Hurricanes,
15,24/04/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,New Jersey Devils,
15,24/04/2021 07:00,Little Caesars Arena,Detroit Red Wings,Dallas Stars,
15,24/04/2021 07:00,Rogers Arena,Vancouver Canucks,Ottawa Senators,
15,24/04/2021 07:00,STAPLES Center,Los Angeles Kings,Arizona Coyotes,
15,24/04/2021 07:00,SAP Center at San Jose,San Jose Sharks,Minnesota Wild,
15,25/04/2021 07:00,Madison Square Garden,New York Rangers,Buffalo Sabres,
15,25/04/2021 07:00,Wells Fargo Center,Philadelphia Flyers,New York Islanders,
15,25/04/2021 07:00,Amalie Arena,Tampa Bay Lightning,Columbus Blue Jackets,
15,25/04/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Boston Bruins,
15,26/04/2021 05:00,Bridgestone Arena,Nashville Predators,Florida Panthers,
15,26/04/2021 05:00,Bell MTS Place,Winnipeg Jets,Edmonton Oilers,
15,26/04/2021 05:00,Xcel Energy Center,Minnesota Wild,St. Louis Blues,
15,26/04/2021 05:00,American Airlines Center,Dallas Stars,Carolina Hurricanes,
15,26/04/2021 06:00,Scotiabank Saddledome,Calgary Flames,Montréal Canadiens,
15,26/04/2021 07:00,Canadian Tire Centre,Ottawa Senators,Vancouver Canucks,
15,26/04/2021 07:00,T-Mobile Arena,Vegas Golden Knights,Colorado Avalanche,
15,26/04/2021 07:00,STAPLES Center,Los Angeles Kings,Anaheim Ducks,
15,26/04/2021 07:00,SAP Center at San Jose,San Jose Sharks,Arizona Coyotes,
15,27/04/2021 05:00,United Center,Chicago Blackhawks,Tampa Bay Lightning,
15,27/04/2021 05:00,Bridgestone Arena,Nashville Predators,Florida Panthers,
15,27/04/2021 05:00,American Airlines Center,Dallas Stars,Carolina Hurricanes,
15,27/04/2021 07:00,Prudential Center,New Jersey Devils,New York Islanders,
15,27/04/2021 07:00,Madison Square Garden,New York Rangers,Buffalo Sabres,
15,27/04/2021 07:00,Wells Fargo Center,Philadelphia Flyers,Washington Capitals,
15,27/04/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Boston Bruins,
15,27/04/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Detroit Red Wings,
16,28/04/2021 05:00,Bell MTS Place,Winnipeg Jets,Edmonton Oilers,
16,28/04/2021 05:00,Xcel Energy Center,Minnesota Wild,St. Louis Blues,
16,28/04/2021 07:00,Centre Bell,Montréal Canadiens,Toronto Maple Leafs,
16,28/04/2021 07:00,Canadian Tire Centre,Ottawa Senators,Vancouver Canucks,
16,28/04/2021 07:00,T-Mobile Arena,Vegas Golden Knights,Colorado Avalanche,
16,28/04/2021 07:00,STAPLES Center,Los Angeles Kings,Anaheim Ducks,
16,28/04/2021 07:00,SAP Center at San Jose,San Jose Sharks,Arizona Coyotes,
16,29/04/2021 05:00,United Center,Chicago Blackhawks,Florida Panthers,
16,29/04/2021 05:00,Bridgestone Arena,Nashville Predators,Dallas Stars,
16,29/04/2021 06:00,Rogers Place,Edmonton Oilers,Calgary Flames,
16,29/04/2021 07:00,TD Garden,Boston Bruins,Buffalo Sabres,
16,29/04/2021 07:00,Prudential Center,New Jersey Devils,Philadelphia Flyers,
16,29/04/2021 07:00,Madison Square Garden,New York Rangers,New York Islanders,
16,29/04/2021 07:00,Capital One Arena,Washington Capitals,Pittsburgh Penguins,
16,29/04/2021 07:00,PNC Arena,Carolina Hurricanes,Detroit Red Wings,
16,30/04/2021 05:00,Enterprise Center,St. Louis Blues,Minnesota Wild,
16,30/04/2021 06:00,Ball Arena,Colorado Avalanche,San Jose Sharks,
16,30/04/2021 07:00,Centre Bell,Montréal Canadiens,Winnipeg Jets,
16,30/04/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Vancouver Canucks,
16,30/04/2021 07:00,Gila River Arena,Arizona Coyotes,Vegas Golden Knights,
16,30/04/2021 07:00,Honda Center,Anaheim Ducks,Los Angeles Kings,
16,01/05/2021 05:00,United Center,Chicago Blackhawks,Florida Panthers,
16,01/05/2021 05:00,Enterprise Center,St. Louis Blues,Minnesota Wild,
16,01/05/2021 05:00,Bridgestone Arena,Nashville Predators,Dallas Stars,
16,01/05/2021 06:00,Rogers Place,Edmonton Oilers,Calgary Flames,
16,01/05/2021 06:00,Ball Arena,Colorado Avalanche,San Jose Sharks,
16,01/05/2021 07:00,TD Garden,Boston Bruins,Buffalo Sabres,
16,01/05/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,New York Rangers,
16,01/05/2021 07:00,Wells Fargo Center,Philadelphia Flyers,New Jersey Devils,
16,01/05/2021 07:00,Capital One Arena,Washington Capitals,Pittsburgh Penguins,
16,01/05/2021 07:00,PNC Arena,Carolina Hurricanes,Columbus Blue Jackets,
16,01/05/2021 07:00,Little Caesars Arena,Detroit Red Wings,Tampa Bay Lightning,
16,01/05/2021 07:00,Centre Bell,Montréal Canadiens,Ottawa Senators,
16,01/05/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Vancouver Canucks,
16,01/05/2021 07:00,Gila River Arena,Arizona Coyotes,Vegas Golden Knights,
16,01/05/2021 07:00,Honda Center,Anaheim Ducks,Los Angeles Kings,
16,02/05/2021 07:00,Little Caesars Arena,Detroit Red Wings,Tampa Bay Lightning,
16,03/05/2021 05:00,Enterprise Center,St. Louis Blues,Anaheim Ducks,
16,03/05/2021 05:00,Xcel Energy Center,Minnesota Wild,Vegas Golden Knights,
16,03/05/2021 07:00,KeyBank Center,Buffalo Sabres,New York Islanders,
16,03/05/2021 07:00,Prudential Center,New Jersey Devils,Boston Bruins,
16,03/05/2021 07:00,Madison Square Garden,New York Rangers,Washington Capitals,
16,03/05/2021 07:00,Wells Fargo Center,Philadelphia Flyers,Pittsburgh Penguins,
16,03/05/2021 07:00,PNC Arena,Carolina Hurricanes,Chicago Blackhawks,
16,03/05/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Nashville Predators,
16,03/05/2021 07:00,Centre Bell,Montréal Canadiens,Toronto Maple Leafs,
16,03/05/2021 07:00,Canadian Tire Centre,Ottawa Senators,Winnipeg Jets,
16,03/05/2021 07:00,Gila River Arena,Arizona Coyotes,Los Angeles Kings,
16,03/05/2021 07:00,SAP Center at San Jose,San Jose Sharks,Colorado Avalanche,
16,04/05/2021 07:00,KeyBank Center,Buffalo Sabres,New York Islanders,
16,04/05/2021 07:00,Prudential Center,New Jersey Devils,Boston Bruins,
16,04/05/2021 07:00,Wells Fargo Center,Philadelphia Flyers,Pittsburgh Penguins,
16,04/05/2021 07:00,PNC Arena,Carolina Hurricanes,Chicago Blackhawks,
16,04/05/2021 07:00,Amalie Arena,Tampa Bay Lightning,Florida Panthers,
16,04/05/2021 07:00,Rogers Arena,Vancouver Canucks,Edmonton Oilers,
17,05/05/2021 05:00,Enterprise Center,St. Louis Blues,Anaheim Ducks,
17,05/05/2021 05:00,Xcel Energy Center,Minnesota Wild,Vegas Golden Knights,
17,05/05/2021 06:00,Scotiabank Saddledome,Calgary Flames,Winnipeg Jets,
17,05/05/2021 07:00,Madison Square Garden,New York Rangers,Washington Capitals,
17,05/05/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Nashville Predators,
17,05/05/2021 07:00,Canadian Tire Centre,Ottawa Senators,Toronto Maple Leafs,
17,05/05/2021 07:00,Gila River Arena,Arizona Coyotes,Los Angeles Kings,
17,05/05/2021 07:00,SAP Center at San Jose,San Jose Sharks,Colorado Avalanche,
17,06/05/2021 05:00,United Center,Chicago Blackhawks,Dallas Stars,
17,06/05/2021 07:00,TD Garden,Boston Bruins,New York Rangers,
17,06/05/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,New Jersey Devils,
17,06/05/2021 07:00,BB&T Center,Florida Panthers,Tampa Bay Lightning,
17,06/05/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Buffalo Sabres,
17,06/05/2021 07:00,Rogers Arena,Vancouver Canucks,Edmonton Oilers,
17,07/05/2021 05:00,Bridgestone Arena,Nashville Predators,Carolina Hurricanes,
17,07/05/2021 05:00,Bell MTS Place,Winnipeg Jets,Ottawa Senators,
17,07/05/2021 05:00,Xcel Energy Center,Minnesota Wild,Anaheim Ducks,
17,07/05/2021 06:00,Scotiabank Saddledome,Calgary Flames,Edmonton Oilers,
17,07/05/2021 07:00,Capital One Arena,Washington Capitals,Philadelphia Flyers,
17,07/05/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Detroit Red Wings,
17,07/05/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Montréal Canadiens,
17,07/05/2021 07:00,T-Mobile Arena,Vegas Golden Knights,St. Louis Blues,
17,07/05/2021 07:00,STAPLES Center,Los Angeles Kings,Colorado Avalanche,
17,07/05/2021 07:00,SAP Center at San Jose,San Jose Sharks,Arizona Coyotes,
17,08/05/2021 05:00,United Center,Chicago Blackhawks,Dallas Stars,
17,08/05/2021 05:00,Bridgestone Arena,Nashville Predators,Carolina Hurricanes,
17,08/05/2021 05:00,Bell MTS Place,Winnipeg Jets,Ottawa Senators,
17,08/05/2021 05:00,Xcel Energy Center,Minnesota Wild,Anaheim Ducks,
17,08/05/2021 07:00,TD Garden,Boston Bruins,New York Rangers,
17,08/05/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,New Jersey Devils,
17,08/05/2021 07:00,Capital One Arena,Washington Capitals,Philadelphia Flyers,
17,08/05/2021 07:00,BB&T Center,Florida Panthers,Tampa Bay Lightning,
17,08/05/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Buffalo Sabres,
17,08/05/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Detroit Red Wings,
17,08/05/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Montréal Canadiens,
17,08/05/2021 07:00,Rogers Arena,Vancouver Canucks,Calgary Flames,
17,08/05/2021 07:00,T-Mobile Arena,Vegas Golden Knights,St. Louis Blues,
17,08/05/2021 07:00,STAPLES Center,Los Angeles Kings,Colorado Avalanche,
17,08/05/2021 07:00,SAP Center at San Jose,San Jose Sharks,Arizona Coyotes,
